Barcode 	 Reads
A00C00B00D00N501	102
A00C00B00D00N502	217
A00C00B00D00P00	2
A00C00B00D00P999	6
A00C00B00D06P999	1
A00C00B00D07N501	3
A00C00B00D07N502	1
A00C00B00D15N502	1
A00C00B00D19N501	1
A00C00B00D19N502	1
A00C00B00D24N502	3
A00C00B00D28N502	1
A00C00B00D29N501	2
A00C00B00D33N501	1
A00C00B00D35N502	1
A00C00B00D37N502	1
A00C00B00D50N501	1
A00C00B00D51N502	1
A00C00B00D54N501	1
A00C00B00D59N502	1
A00C00B00D60N502	1
A00C00B00D63N502	1
A00C00B00D68N501	2
A00C00B00D70N501	1
A00C00B00D81N502	1
A00C00B00D85N501	1
A00C00B00D87N501	1
A00C00B00D89N501	2
A00C00B00D90N501	1
A00C00B01D16N501	1
A00C00B01D27N501	1
A00C00B01D82N501	1
A00C00B01D85N501	1
A00C00B01D96P999	1
A00C00B02D00N501	3
A00C00B02D52N501	1
A00C00B02D59N502	1
A00C00B02D67N501	2
A00C00B02D68N501	1
A00C00B02D69N501	1
A00C00B02D70N502	1
A00C00B02D72N501	1
A00C00B02D88N501	1
A00C00B03D21N501	1
A00C00B03D34P00	1
A00C00B03D64N501	1
A00C00B04D00N501	1
A00C00B04D00P00	1
A00C00B04D02N502	1
A00C00B04D39N501	1
A00C00B04D42N501	1
A00C00B04D51P999	1
A00C00B04D71N502	1
A00C00B04D72N502	1
A00C00B04D73N502	1
A00C00B04D78N502	1
A00C00B04D90N502	1
A00C00B04D93N501	1
A00C00B05D32N502	1
A00C00B05D45N501	1
A00C00B05D55P999	1
A00C00B05D75N501	1
A00C00B05D80P999	1
A00C00B05D81N501	1
A00C00B05D81P999	1
A00C00B05D82N501	1
A00C00B05D88N502	1
A00C00B06D45N502	1
A00C00B06D54N502	1
A00C00B06D62N502	1
A00C00B06D86N501	1
A00C00B06D95N501	1
A00C00B07D00P00	1
A00C00B07D14N501	1
A00C00B07D15N502	1
A00C00B07D31N501	1
A00C00B07D66P999	1
A00C00B07D78N502	1
A00C00B07D81N502	1
A00C00B07D88N502	1
A00C00B07D91N502	1
A00C00B08D46P999	2
A00C00B08D79N502	1
A00C00B08D80N501	1
A00C00B08D87N502	1
A00C00B08D95N501	1
A00C00B09D03N501	1
A00C00B09D16N501	1
A00C00B09D29N502	1
A00C00B09D49N502	1
A00C00B09D51N502	1
A00C00B09D68N501	1
A00C00B09D80N502	1
A00C00B09D87N501	1
A00C00B09D94N502	1
A00C00B10D26N501	2
A00C00B10D26P999	1
A00C00B10D82P999	1
A00C00B10D88N502	1
A00C00B10D91P999	1
A00C00B11D07N502	1
A00C00B11D64N501	1
A00C00B11D80N501	1
A00C00B11D82N501	1
A00C00B11D90N501	1
A00C00B11D96N502	1
A00C00B12D02N501	1
A00C00B12D29N502	1
A00C00B12D35N501	1
A00C00B12D52N502	1
A00C00B12D83N502	1
A00C00B12D87N501	1
A00C00B13D00N502	1
A00C00B13D23N501	1
A00C00B13D34N501	2
A00C00B13D43N501	1
A00C00B14D42N502	1
A00C00B14D60N502	1
A00C00B14D88N502	1
A00C00B15D00N501	1
A00C00B15D01N501	1
A00C00B15D10N502	1
A00C00B15D24N501	1
A00C00B15D25N502	1
A00C00B15D56N502	1
A00C00B15D60N502	1
A00C00B15D61N502	1
A00C00B15D66N502	1
A00C00B16D00N501	1
A00C00B16D07N501	1
A00C00B16D29N502	1
A00C00B16D31N501	1
A00C00B16D34N502	1
A00C00B16D36N501	1
A00C00B16D54N501	1
A00C00B16D65N501	1
A00C00B16D69N501	1
A00C00B16D84N502	1
A00C00B17D08N501	1
A00C00B17D14N502	1
A00C00B17D15N501	1
A00C00B17D35N501	1
A00C00B17D54N502	1
A00C00B17D61N501	1
A00C00B17D62N502	1
A00C00B17D73P999	1
A00C00B18D37N501	1
A00C00B18D41N502	1
A00C00B18D62N501	1
A00C00B18D70N501	1
A00C00B18D85N501	1
A00C00B18D88N502	1
A00C00B18D90N501	1
A00C00B19D25N501	1
A00C00B19D32P999	1
A00C00B19D48N501	1
A00C00B19D80N502	1
A00C00B20D16N502	1
A00C00B20D50N501	1
A00C00B20D64N502	1
A00C00B20D82P999	1
A00C00B21D00N502	1
A00C00B21D17N501	1
A00C00B21D42N502	1
A00C00B21D44N501	1
A00C00B22D53N501	1
A00C00B22D56N501	1
A00C00B22D67N502	1
A00C00B22D85P999	1
