Barcode 	 Correct reads 	 Corrected reads
A01C01B04D49N502	1	0
A01C01B10D02N502	1	0
A01C01B16D68N502	1	0
A01C01B79D96N502	1	0
A01C02B57D80N501	1	0
A01C02B70D36N501	1	0
A01C03B08D63N502	1	0
A01C03B77D50N502	1	0
A01C03B87D67N502	1	0
A01C04B27D42N502	0	1
A01C05B04D59N502	1	0
A01C05B28D64N502	1	0
A01C05B58D04N502	1	0
A01C06B54D08N502	1	0
A01C07B77D73N502	1	0
A01C10B32D11N502	1	0
A01C10B33D27N502	1	0
A01C10B58D49N501	1	0
A01C10B60D65N502	1	0
A01C10B73D24N502	1	0
A01C10B76D64N502	1	0
A01C10B92D57N502	1	0
A01C11B23D59N502	1	0
A01C11B26D64N502	1	0
A01C11B39D60N502	0	1
A01C11B93D46N501	1	0
A01C12B48D15N501	1	0
A01C12B68D84N501	1	0
A01C12B83D27N502	1	0
A01C13B11D89N502	1	0
A01C13B28D62N501	1	0
A01C13B39D67N502	1	0
A01C13B42D37N502	1	0
A01C13B86D70N501	1	0
A01C13B96D63N502	1	0
A01C14B27D43N502	1	0
A01C14B36D26N501	1	0
A01C14B52D23N501	1	0
A01C14B89D16P999	1	0
A01C14B89D33N502	1	0
A01C16B34D37N502	1	0
A01C16B43D46N502	1	0
A01C16B49D07N501	0	1
A01C16B61D05N501	1	0
A01C16B89D59N501	1	0
A01C17B64D84N502	1	0
A01C17B79D87N502	1	0
A01C17B93D56N502	1	0
A01C17B93D58N502	1	0
A01C17B94D14N501	1	0
A01C18B04D66N502	1	0
A01C18B42D86N502	1	0
A01C19B37D24N502	1	0
A01C19B42D10N502	1	0
A01C20B34D71N501	1	0
A01C21B67D28N502	1	0
A01C21B72D83N502	1	0
A01C22B51D35N501	1	0
A01C23B64D79N502	0	1
A01C24B11D80N502	1	0
A01C24B14D86N502	1	0
A01C24B34D61N502	1	0
A01C24B60D19N502	1	0
A01C25B29D90N502	0	1
A01C26B65D72N501	1	0
A01C27B01D25N502	0	1
A01C27B12D91N502	1	0
A01C27B16D61N502	1	0
A01C27B49D10N502	1	0
A01C27B63D72N502	1	0
A01C27B67D13N502	1	0
A01C27B87D80N502	1	0
A01C28B29D10N502	1	0
A01C29B18D77N501	1	0
A01C29B21D95N502	1	0
A01C29B27D01N502	1	0
A01C29B56D71N502	1	0
A01C29B58D59N502	1	0
A01C29B87D28N502	1	0
A01C29B93D88N502	1	0
A01C30B41D87N502	1	0
A01C30B84D70N502	1	0
A01C30B95D50N502	1	0
A01C31B10D26N502	1	0
A01C31B29D39N502	1	0
A01C31B51D93N502	1	0
A01C31B77D16N502	1	0
A01C33B07D15N501	1	0
A01C33B37D92N502	1	0
A01C34B12D65N501	1	0
A01C34B15D75N501	1	0
A01C34B66D62N501	1	0
A01C35B40D79N501	0	1
A01C35B48D71N502	1	0
A01C35B62D77N502	1	0
A01C35B94D92N502	1	0
A01C36B04D33N502	1	0
A01C36B45D13N501	1	0
A01C36B58D86N502	1	0
A01C37B26D45N502	1	0
A01C37B28D09N502	0	1
A01C38B15D25N502	1	0
A01C38B48D57N502	1	0
A01C38B59D31N501	1	0
A01C38B61D21N502	1	0
A01C39B40D52N502	1	0
A01C39B50D33N502	1	0
A01C40B09D30N502	1	0
A01C40B46D63N502	1	0
A01C41B10D57N502	1	0
A01C41B60D15N501	1	0
A01C41B63D73N502	1	0
A01C42B36D39N501	1	0
A01C42B41D51N501	1	0
A01C44B07D78N502	1	0
A01C44B16D73N502	1	0
A01C44B31D21N502	1	0
A01C44B60D84N502	1	0
A01C45B02D76N502	1	0
A01C45B16D72N502	2	0
A01C47B27D32N502	1	0
A01C47B81D04N502	1	0
A01C48B57D31N502	0	1
A01C49B07D40N502	1	0
A01C49B27D70N501	1	0
A01C50B27D68N502	1	0
A01C50B29D15N502	1	0
A01C50B29D51N502	1	0
A01C50B39D80N501	1	0
A01C50B96D78N502	1	0
A01C51B34D63N502	1	0
A01C51B39D64N502	1	0
A01C51B74D53N502	0	1
A01C52B47D52N501	1	0
A01C52B58D61N501	1	0
A01C52B81D73N502	1	0
A01C53B05D72N501	1	0
A01C53B93D38N502	1	0
A01C53B93D70N501	1	0
A01C54B18D54N502	1	0
A01C54B33D23N501	1	0
A01C54B90D53N501	1	0
A01C55B42D21N502	1	0
A01C55B55D93N501	1	0
A01C56B02D81N502	1	0
A01C56B06D85N502	1	0
A01C56B54D45N502	1	0
A01C56B70D21N502	1	0
A01C56B81D79N502	1	0
A01C56B89D76N502	1	0
A01C57B01D28N502	0	1
A01C57B35D69N502	1	0
A01C57B39D39N501	0	1
A01C57B84D21N501	1	0
A01C58B49D24N501	1	0
A01C59B14D14N502	0	1
A01C59B31D08P999	1	0
A01C59B53D69N502	1	0
A01C60B23D14N501	1	0
A01C60B71D88N501	0	1
A01C61B43D76N502	1	0
A01C61B50D55N502	1	0
A01C61B53D42N502	0	1
A01C62B07D77P999	1	0
A01C62B22D38N502	1	0
A01C62B42D69N502	1	0
A01C62B54D77N502	1	0
A01C62B63D92N502	1	0
A01C62B76D36N502	1	0
A01C63B23D17N502	1	0
A01C64B33D50N502	1	0
A01C64B37D71N501	1	0
A01C64B41D88N502	1	0
A01C64B57D29N502	1	0
A01C64B91D23N502	1	0
A01C64B95D48N501	1	0
A01C65B28D26N502	1	0
A01C65B60D17N502	1	0
A01C66B13D38N502	1	0
A01C66B30D43N502	1	0
A01C66B56D49N502	1	0
A01C67B13D22N502	1	0
A01C67B88D08N501	1	0
A01C67B88D22P00	0	1
A01C68B81D43N502	1	0
A01C69B09D50N501	1	0
A01C69B10D96N502	1	0
A01C69B70D01N502	2	0
A01C70B40D70N501	1	0
A01C70B52D93N502	0	1
A01C70B89D51N502	1	0
A01C70B95D08N501	1	0
A01C71B40D83N502	1	0
A01C73B43D92N501	1	0
A01C74B54D44N502	1	0
A01C74B87D52N502	1	0
A01C74B95D13N502	0	1
A01C75B16D74N502	1	0
A01C75B23D32N502	1	0
A01C75B71D21N501	1	0
A01C76B54D74N501	1	0
A01C76B92D05N502	1	0
A01C77B78D27N501	0	1
A01C77B85D88N502	1	0
A01C78B09D81N501	1	0
A01C78B23D14N501	1	0
A01C78B45D84N501	0	1
A01C79B45D86N502	1	0
A01C80B39D45N501	1	0
A01C81B25D39N501	0	1
A01C81B29D62N502	1	0
A01C81B48D95N502	1	0
A01C81B57D36N502	1	0
A01C81B65D65N502	0	1
A01C81B68D69N501	1	0
A01C82B42D66N502	1	0
A01C83B54D22N501	0	1
A01C84B07D37N502	1	0
A01C84B32D26N501	1	0
A01C84B36D84N502	1	0
A01C84B48D61N501	1	0
A01C84B60D06N502	0	1
A01C84B84D62N502	1	0
A01C84B95D13N501	1	0
A01C85B91D81N502	1	0
A01C87B10D91N502	1	0
A01C87B54D20N502	1	0
A01C88B52D26N502	1	0
